,No,Kabupaten / County,New PPLN / PMI,new PPDN,total PPDN,new_local_transmission,total_local_transmission,new_other_transmission,total_other_transmission,new_cases,total_cases,date,new_treatment,total_treatment,new_recovered,total_recovered,new_deaths,total_deaths,Name_EN,Date,Name_Indo,Capital,area_km2,population_2000,population_2010,population_2015,HDI_2014_estimate,Gouvernor,Nr. of Sub-Districts,Nr of Keluruhan/Villages,new_total,total_cases_per_100k,total_deaths_per_100k,cases7,cases7_per_100k,deaths7,deaths7_per_100k,CFR,id
0,1,JEMBRANA,0,0,11,1,626,0,0,1,663, 05 Dec 2020,-7,70,7,579,1,14,jembrana,2020-12-05,Jembrana,Negara,841.80,231.806,261.638,271.423,0.686 (Medium),I Putu Artha,5.0,10/41,1,2.4426817182036893,5158.000611591501,,,,,2.1116138763197587,5
1,2,TABANAN,0,2,10,23,1466,0,0,25,1497, 05 Dec 2020,-10,434,35,1016,0,47,tabanan,2020-12-05,Tabanan,Tabanan,839.30,376.03,420.913,435.753,0.726 (High),Ni Putu Eka Wiryastuti,10.0,-/133,25,3.4354324582963285,10785.926889774712,,,,,3.139612558450234,9
2,3,BADUNG,0,0,4,18,2478,0,0,18,2509, 05 Dec 2020,-9,159,27,2299,0,51,badung,2020-12-05,Badung,Mangupura,418.52,345.863,543.332,615.148,0.779 (High),I Nyoman Giri Prasta,6.0,16/46,18,4.07869325755753,8290.687769447353,,,,,2.0326823435631725,1
3,4,DENPASAR,0,-1,22,28,3891,0,0,27,3961, 05 Dec 2020,1,166,26,3705,0,90,denpasar,2020-12-05,Kota Denpasar,Denpasar,127.78,532.44,788.589,879.098,0.816 (Very High),Ida Bagus Rai Dharmawijaya Mantra,4.0,16/27,27,4.505754762267689,10237.766437871545,,,,,2.27215349659177,8
4,5,GIANYAR,0,-1,10,16,1951,0,0,15,1990, 05 Dec 2020,-16,234,31,1681,0,75,gianyar,2020-12-05,Gianyar,Gianyar,368.00,393.155,469.777,494.729,0.742 (High),I Made Agus Mahayastra,7.0,6/64,15,4.0224041849173995,15159.81476727663,,,,,3.7688442211055273,4
5,6,BANGLI,0,0,3,0,824,0,0,0,885, 05 Dec 2020,-1,8,1,842,0,35,bangli,2020-12-05,Bangli,Bangli,490.71,193.776,215.353,222.474,0.657 (Medium),I Made Gianyar,4.0,4/68,0,3.977992934005772,15732.175445220568,,,,,3.954802259887006,2
6,7,KLUNGKUNG,0,0,0,0,928,0,0,0,947, 05 Dec 2020,0,9,0,918,0,20,klungkung,2020-12-05,Klungkung,Semarapura,315.00,155.262,170.543,175.573,0.683 (Medium),I Nyoman Suwirta,4.0,6/53,0,5.393767834462018,11391.273145643123,12.285714285714286,0.06997496360895061,0.14285714285714285,10965.092152403633,2.1119324181626187,7
7,8,KARANGASEM,0,0,0,0,1006,0,0,0,1029, 05 Dec 2020,-3,14,3,964,0,51,karangasem,2020-12-05,Karangasem,Amlapura,839.54,360.486,396.487,408.487,0.640 (Medium),I Gusti Ayu Mas Sumatri,8.0,3/75,0,2.519052013895179,12485.097444961528,12.142857142857142,0.029726422488003636,0.0,12011.820271456494,4.956268221574344,0
8,9,BULELENG,0,0,6,5,1172,0,0,5,1219, 05 Dec 2020,1,59,4,1101,0,59,buleleng,2020-12-05,Buleleng,Singaraja,"1,364.73",558.181,624.125,645.893,0.691 (Medium),Putu Agus Suradnyana,9.0,19/129,5,1.8873095079215907,9134.639948102858,9.285714285714286,0.014376551976433071,0.0,11775.922136931944,4.8400328137817885,3
9,10,KABUPATEN LAINNYA,0,0,31,0,13,0,0,0,49, 05 Dec 2020,-1,4,1,44,0,1,kabupaten lainnya,2020-12-05,,,,,,,,,,,0,,,6.714285714285714,,0.0,,2.0408163265306123,0
